X-Axis	CC14_MI2_H2O_96mw
 2.202191684E+03	 1.288699951E+03
 2.206075228E+03	 1.291300049E+03
 2.209956886E+03	 1.288199951E+03
 2.213836660E+03	 1.296400024E+03
 2.217714552E+03	 1.293199951E+03
 2.221590562E+03	 1.285500000E+03
 2.225464692E+03	 1.284900024E+03
 2.229336944E+03	 1.294699951E+03
 2.233207319E+03	 1.286500000E+03
 2.237075818E+03	 1.292300049E+03
 2.240942443E+03	 1.290900024E+03
 2.244807195E+03	 1.294900024E+03
 2.248670076E+03	 1.291099976E+03
 2.252531086E+03	 1.282099976E+03
 2.256390228E+03	 1.274500000E+03
 2.260247502E+03	 1.289300049E+03
 2.264102911E+03	 1.286599976E+03
 2.267956455E+03	 1.288900024E+03
 2.271808136E+03	 1.281300049E+03
 2.275657955E+03	 1.290099976E+03
 2.279505914E+03	 1.286599976E+03
 2.283352013E+03	 1.289199951E+03
 2.287196256E+03	 1.285300049E+03
 2.291038642E+03	 1.284500000E+03
 2.294879173E+03	 1.293300049E+03
 2.298717851E+03	 1.290599976E+03
 2.302554676E+03	 1.294400024E+03
 2.306389651E+03	 1.288300049E+03
 2.310222777E+03	 1.291400024E+03
 2.314054054E+03	 1.299800049E+03
 2.317883486E+03	 1.290800049E+03
 2.321711072E+03	 1.285599976E+03
 2.325536814E+03	 1.286900024E+03
 2.329360713E+03	 1.293400024E+03
 2.333182772E+03	 1.292099976E+03
 2.337002991E+03	 1.299900024E+03
 2.340821371E+03	 1.293699951E+03
 2.344637915E+03	 1.295099976E+03
 2.348452623E+03	 1.287300049E+03
 2.352265497E+03	 1.281199951E+03
 2.356076538E+03	 1.287500000E+03
 2.359885747E+03	 1.287699951E+03
 2.363693126E+03	 1.285099976E+03
 2.367498676E+03	 1.283300049E+03
 2.371302399E+03	 1.288199951E+03
 2.375104296E+03	 1.280900024E+03
 2.378904368E+03	 1.282199951E+03
 2.382702617E+03	 1.288000000E+03
 2.386499044E+03	 1.293599976E+03
 2.390293650E+03	 1.282800049E+03
 2.394086436E+03	 1.293000000E+03
 2.397877405E+03	 1.289800049E+03
 2.401666557E+03	 1.286199951E+03
 2.405453894E+03	 1.291699951E+03
 2.409239416E+03	 1.289199951E+03
 2.413023127E+03	 1.289099976E+03
 2.416805026E+03	 1.290400024E+03
 2.420585115E+03	 1.316900024E+03
 2.424363395E+03	 1.296400024E+03
 2.428139868E+03	 1.280199951E+03
 2.431914536E+03	 1.287800049E+03
 2.435687399E+03	 1.288099976E+03
 2.439458458E+03	 1.292400024E+03
 2.443227716E+03	 1.286699951E+03
 2.446995173E+03	 1.290300049E+03
 2.450760831E+03	 1.288000000E+03
 2.454524691E+03	 1.286000000E+03
 2.458286754E+03	 1.288900024E+03
 2.462047022E+03	 1.284400024E+03
 2.465805497E+03	 1.279300049E+03
 2.469562178E+03	 1.294000000E+03
 2.473317069E+03	 1.286500000E+03
 2.477070169E+03	 1.287099976E+03
 2.480821481E+03	 1.294699951E+03
 2.484571005E+03	 1.290099976E+03
 2.488318744E+03	 1.283000000E+03
 2.492064698E+03	 1.293099976E+03
 2.495808868E+03	 1.296199951E+03
 2.499551257E+03	 1.284800049E+03
 2.503291865E+03	 1.292599976E+03
 2.507030693E+03	 1.291800049E+03
 2.510767743E+03	 1.296199951E+03
 2.514503017E+03	 1.286699951E+03
 2.518236515E+03	 1.288500000E+03
 2.521968239E+03	 1.299500000E+03
 2.525698189E+03	 1.292900024E+03
 2.529426369E+03	 1.286300049E+03
 2.533152778E+03	 1.285500000E+03
 2.536877418E+03	 1.287699951E+03
 2.540600291E+03	 1.289400024E+03
 2.544321397E+03	 1.292699951E+03
 2.548040738E+03	 1.288699951E+03
 2.551758315E+03	 1.294500000E+03
 2.555474130E+03	 1.288500000E+03
 2.559188184E+03	 1.290300049E+03
 2.562900478E+03	 1.284000000E+03
 2.566611013E+03	 1.287400024E+03
 2.570319791E+03	 1.287099976E+03
 2.574026813E+03	 1.293500000E+03
 2.577732080E+03	 1.283000000E+03
 2.581435594E+03	 1.287599976E+03
 2.585137355E+03	 1.284000000E+03
 2.588837366E+03	 1.280400024E+03
 2.592535627E+03	 1.283000000E+03
 2.596232140E+03	 1.287699951E+03
